,a,b,c,d,(b-a)/2,F(c),F(d)
0,-100.0,100.0,-23.606600000000014,23.606600000000014,100.0,4328.795320462867,9105.35681435115
1,-100.0,23.606600000000014,-52.7863578178,-23.606600000000014,61.80330000000001,27325.468272376915,4328.795320462867
2,-52.7863578178,23.606600000000014,-23.606600000000014,-5.5729889187916015,38.196478908900005,4328.795320462867,27.722228467594373
3,-23.606600000000014,23.606600000000014,-5.5729889187916015,5.572715635600005,23.606600000000014,27.722228467594373,1155.298185109772
4,-23.606600000000014,5.572715635600005,-12.461064344616783,-5.5729889187916015,14.58965781780001,776.8721767850302,27.722228467594373
5,-12.461064344616783,5.572715635600005,-5.5729889187916015,-1.315593202103459,9.016889990108394,27.722228467594373,117.04907277558291
6,-12.461064344616783,-1.315593202103459,-8.203862168724397,-5.5729889187916015,5.572735571256662,183.4784987967594,27.722228467594373
7,-8.203862168724397,-1.315593202103459,-5.5729889187916015,-3.9466846344767585,3.444134483310469,27.722228467594373,12.034264955661534
8,-5.5729889187916015,-1.315593202103459,-3.9466846344767585,-2.9417778718196788,2.128697858344071,12.034264955661534,33.120185321576116
9,-5.5729889187916015,-2.9417778718196788,-4.567953128812877,-3.9466846344767585,1.3156055234859614,10.75879303999512,12.034264955661534
10,-5.5729889187916015,-3.9466846344767585,-4.951794350224714,-4.567953128812877,0.8131521421574215,14.461805033658349,10.75879303999512
11,-4.951794350224714,-3.9466846344767585,-4.567953128812877,-4.330603377271857,0.5025548578739776,10.75879303999512,10.185331947715548
12,-4.567953128812877,-3.9466846344767585,-4.330603377271857,-4.183988697452842,0.3106342471680592,10.185331947715548,10.486411678869771
13,-4.567953128812877,-4.183988697452842,-4.421291386859579,-4.330603377271857,0.19198221568001728,10.249615629102719,10.185331947715548
14,-4.421291386859579,-4.183988697452842,-4.330603377271857,-4.274630493817465,0.11865134470336836,10.185331947715548,10.241215440501891
15,-4.421291386859579,-4.274630493817465,-4.365271765526962,-4.330603377271857,0.07333044652105691,10.187298761738804,10.185331947715548
16,-4.365271765526962,-4.274630493817465,-4.330603377271857,-4.309252468448527,0.045320635854748215,10.185331947715548,10.198043769616508
17,-4.365271765526962,-4.309252468448527,-4.343874242679803,-4.330603377271857,0.02800964853921739,10.18277927460934,10.185331947715548
18,-4.365271765526962,-4.330603377271857,-4.352029585270325,-4.343874242679803,0.017334194127552216,10.183244668368808,10.18277927460934
