,Xn,F(Xn),||F`(Xn)||
292,[ 1.66274394e-04 -2.99993113e+00],10.000000552943483,0.006144700376634982
293,[-1.56280317e-04 -3.00006473e+00],10.00000048847075,0.005775367443036106
294,[ 1.46886943e-04 -2.99993916e+00],10.00000043151548,0.005428233609068177
295,[-1.38058167e-04 -3.00005719e+00],10.000000381201149,0.005101964577191261
296,[ 1.29760052e-04 -2.99994625e+00],10.000000336753422,0.004795306249058924
297,[-1.21960703e-04 -3.00005052e+00],10.000000297488262,0.004507079905076147
298,[ 1.14630142e-04 -2.99995252e+00],10.000000262801388,0.004236177673681215
299,[-1.07740190e-04 -3.00004463e+00],10.000000232158975,0.003981558272967961
300,[ 1.01264366e-04 -2.99995805e+00],10.000000205089435,0.0037422430082502556
301,[-9.51777771e-05 -3.00003942e+00],10.000000181176187,0.0035173120101958653
302,[ 8.94570283e-05 -2.99996295e+00],10.000000160051197,0.0033059006990695896
303,[-8.40801304e-05 -3.00003483e+00],10.000000141389366,0.0031071964615111873
304,[ 7.90264159e-05 -2.99996727e+00],10.000000124903488,0.002920435527039457
305,[-7.42764596e-05 -3.00003077e+00],10.000000110339847,0.0027449000323093563
306,[ 6.98120039e-05 -2.99997108e+00],10.000000097474317,0.0025799152618229963
307,[-6.56158885e-05 -3.00002718e+00],10.000000086108894,0.002424847054475832
308,[ 6.16719844e-05 -2.99997445e+00],10.000000076068675,0.002279099366016765
309,[-5.79651324e-05 -3.00002401e+00],10.000000067199132,0.0021421119779882905
310,[ 5.44810842e-05 -2.99997743e+00],10.00000005936377,0.0020133583443813514
311,[-5.12064479e-05 -3.00002121e+00],10.000000052442008,0.001892343567722015
312,[ 4.81286367e-05 -2.99998006e+00],10.000000046327314,0.0017786024968124705
313,[-4.52358203e-05 -3.00001874e+00],10.00000004092559,0.0016716979388088664
314,[ 4.25168792e-05 -2.99998239e+00],10.000000036153699,0.0015712189787389728
315,[-3.99613626e-05 -3.00001655e+00],10.000000031938209,0.0014767794000513767
316,[ 3.75594477e-05 -2.99998444e+00],10.000000028214242,0.0013880162001135424
317,[-3.53019022e-05 -3.00001462e+00],10.000000024924486,0.001304588194899972
318,[ 3.31800485e-05 -2.99998626e+00],10.00000002201831,0.0012261747075706202
319,[-3.11857308e-05 -3.00001292e+00],10.000000019450997,0.001152474335856969
320,[ 2.93112834e-05 -2.99998786e+00],10.000000017183025,0.0010832037935598186
321,[-2.75495015e-05 -3.00001141e+00],10.000000015179499,0.0010180968216569552
322,[ 2.58936131e-05 -2.99998927e+00],10.000000013409585,0.00095690316488224
323,[-2.43372533e-05 -3.00001008e+00],10.000000011846039,0.000899387609783298
324,[ 2.28744401e-05 -2.99999053e+00],10.000000010464799,0.0008453290806477723
325,[-2.14995506e-05 -3.00000891e+00],10.000000009244612,0.0007945197897051541
326,[ 2.02073001e-05 -2.99999163e+00],10.0000000081667,0.0007467644384653356
327,[-1.89927215e-05 -3.00000787e+00],10.000000007214465,0.0007018794670525505
328,[ 1.78511463e-05 -2.99999261e+00],10.00000000637327,0.000659692348610284
329,[-1.67781866e-05 -3.00000695e+00],10.00000000563015,0.0006200409261717811
330,[ 1.57697180e-05 -2.99999347e+00],10.000000004973682,0.0005827727893708913
331,[-1.48218645e-05 -3.00000614e+00],10.000000004393755,0.0005477446886112761
332,[ 1.39309825e-05 -2.99999423e+00],10.000000003881446,0.0005148219844386552
333,[-1.30936478e-05 -3.00000542e+00],10.000000003428873,0.00048387813003532916
334,[ 1.2306642e-05 -2.9999949e+00],10.00000000302907,0.00045479418479013486
335,[-1.15669398e-05 -3.00000479e+00],10.00000000267588,0.00042745835713828127
336,[ 1.08716981e-05 -2.99999550e+00],10.000000002363876,0.00040176557484064985
337,[-1.02182446e-05 -3.00000423e+00],10.000000002088251,0.000377617081133826
338,[ 9.60406748e-06 -2.99999602e+00],10.000000001844763,0.00035492005511096885
339,[-9.02680607e-06 -3.00000374e+00],10.000000001629667,0.00033358725495266644
340,[ 8.48424149e-06 -2.99999649e+00],10.000000001439645,0.00031353668259961773
341,[-7.97428826e-06 -3.00000330e+00],10.000000001271786,0.00029469126855658916
342,[ 7.49498625e-06 -2.99999690e+00],10.000000001123496,0.00027697857565941027
343,[-7.04449313e-06 -3.00000292e+00],10.000000000992499,0.00026033052064920585
344,[ 6.62107731e-06 -2.99999726e+00],10.000000000876774,0.00024468311247314277
345,[-6.22311130e-06 -3.00000258e+00],10.000000000774543,0.00022997620632976359
346,[ 5.84906540e-06 -2.99999758e+00],10.000000000684231,0.00021615327246196636
347,[-5.49750189e-06 -3.00000228e+00],10.000000000604453,0.00020316117890151588
348,[ 5.16706942e-06 -2.99999786e+00],10.000000000533971,0.00019094998721087936
349,[-4.85649790e-06 -3.00000201e+00],10.000000000471712,0.00017947276055794214
