,a,b,c,(b-a)/2,F(c-e),F(c+e)
0,-100.0,100.0,0.0,100.0,229.99994941498124,230.00005058502464
1,-100.0,-5e-07,-50.00000025,49.99999975,24273.450401683076,24273.44933877505
2,-49.99999975,-5e-07,-25.000000125,24.999999625,4976.237158947459,4976.236678078467
3,-24.999999625,-5e-07,-12.5000000625,12.499999562500001,784.2465500308283,784.2463601813524
4,-12.4999995625,-5e-07,-6.25000003125,6.249999531249999,52.405248685306546,52.40520434559039
5,-6.24999953125,-5e-07,-3.125000015625,3.1249995156250003,27.52309879074434,27.523127205907954
6,-6.24999953125,-3.125000515625,-4.6875000234375,1.5624995078125001,11.544298673175561,11.544290710899284
7,-4.6874995234375,-3.125000515625,-3.9062500195312504,0.7812495039062501,12.428729965747479,12.428740192191146
8,-4.6874995234375,-3.9062505195312505,-4.296875021484375,0.3906245019531249,10.210272127908407,10.210273259992094
9,-4.6874995234375,-4.296875521484375,-4.492187522460938,0.19531200097656276,10.43322485265371,10.43322143755741
10,-4.492187022460938,-4.296875521484375,-4.394531271972657,0.09765575048828179,10.210733353308987,10.210732211802684
11,-4.394530771972657,-4.296875521484375,-4.345703146728516,0.04882762524414108,10.182748956365682,10.182748951654371
12,-4.345702646728516,-4.296875521484375,-4.3212890841064455,0.024413562622070728,10.189572096076288,10.189572659762481
13,-4.345702646728516,-4.321289584106445,-4.33349611541748,0.012206531311035551,10.184425914705795,10.184426194193236
14,-4.345702646728516,-4.33349661541748,-4.339599631072998,0.006103015655518185,10.183153782656941,10.183153920045008
15,-4.345702646728516,-4.339600131072998,-4.342651388900757,0.0030512578277592795,10.182842956291612,10.182843022629992
16,-4.345702646728516,-4.342651888900757,-4.344177267814636,0.0015253789138798268,10.182768853023722,10.182768883837257
17,-4.345702646728516,-4.344177767814636,-4.344940207271576,0.0007624394569401005,10.182752128868469,10.182752141919583
18,-4.345702646728516,-4.344940707271576,-4.345321677000046,0.00038096972847023736,10.182748848660514,10.182748852830418
19,-4.345702646728516,-4.345322177000045,-4.345512411864281,0.00019023486423552782,10.182748479023958,10.182748478753256
20,-4.345511911864281,-4.345322177000045,-4.345417044432163,9.486743211795101e-05,10.182748557969953,10.182748559919554
21,-4.345511911864281,-4.345417544432163,-4.345464728148222,4.7183716059162606e-05,10.182748492028885,10.182748492868335
22,-4.345511911864281,-4.345465228148222,-4.3454885700062515,2.334185802954636e-05,10.182748478909403,10.182748479193776
23,-4.345511911864281,-4.345489070006251,-4.345500490935266,1.142092901496028e-05,10.182748477312426,10.182748477319262
24,-4.345511911864281,-4.345500990935266,-4.345506451399773,5.46046450766724e-06,10.182748477754629,10.182748477622695
25,-4.345505951399773,-4.345500990935266,-4.34550347116752,2.4802322537986754e-06,10.182748477430138,10.18274847736759
26,-4.34550297116752,-4.345500990935266,-4.3455019810513935,9.901161273084824e-07,10.182748477345434,10.182748477317578
27,,,,,,
28,-100.0,100.0,0.0,100.0,29.999996597900456,30.000003402099544
29,-100.0,-5e-07,-50.00000025,49.99999975,310.20995966637025,310.20995286217124
30,-49.99999975,-5e-07,-25.000000125,24.999999625,140.10498153423492,140.10497473003585
31,-24.999999625,-5e-07,-12.5000000625,12.499999562500001,55.05249246816724,55.052485663968135
32,-12.4999995625,-5e-07,-6.25000003125,6.249999531249999,15.715533749637395,15.715527715152511
33,-6.24999953125,-5e-07,-3.125000015625,3.1249995156250003,10.1921781076951,10.192183166197271
34,-6.24999953125,-3.125000515625,-4.6875000234375,1.5624995078125001,6.378937360374985,6.378935999535168
35,-4.6874995234375,-3.125000515625,-3.9062500195312504,0.7812495039062501,6.8717857610299244,6.871788097852458
36,-4.6874995234375,-3.9062505195312505,-4.296875021484375,0.3906245019531249,5.958964453974044,5.958966790796577
37,-4.6874995234375,-4.296875521484375,-4.492187522460938,0.19531200097656276,6.113148332043524,6.113146971203706
38,-4.492187022460938,-4.296875521484375,-4.394531271972657,0.09765575048828179,5.980253817877794,5.980252457037977
39,-4.394530771972657,-4.296875521484375,-4.345703146728516,0.04882762524414108,5.913806560794927,5.91380519995511
40,-4.345702646728516,-4.296875521484375,-4.3212890841064455,0.024413562622070728,5.901913122283052,5.9019154591055845
41,-4.345702646728516,-4.321289584106445,-4.33349611541748,0.012206531311035551,5.897194746524212,5.897193385684393
42,-4.333495615417481,-4.321289584106445,-4.327392599761962,0.006103015655517741,5.888888839388853,5.8888874785490355
43,-4.327392099761963,-4.321289584106445,-4.3243408419342035,0.0030512578277588354,5.8947817058216785,5.894784042644211
44,-4.327392099761963,-4.324341341934203,-4.325866720848083,0.0015253789138798268,5.891215997590992,5.891218334413525
45,-4.327392099761963,-4.325867220848083,-4.326629660305023,0.0007624394569401005,5.889433143475649,5.8894354802981805
46,-4.327392099761963,-4.326630160305022,-4.327011130033492,0.00038096972847023736,5.888541716417977,5.88854405324051
47,-4.327392099761963,-4.327011630033492,-4.327201864897727,0.00019023486423552782,5.888629279790872,5.8886279189510535
48,-4.327201364897728,-4.327011630033492,-4.32710649746561,9.486743211795101e-05,5.888499499991881,5.888498139152064
49,-4.32710599746561,-4.327011630033492,-4.3270588137495505,4.7183716059162606e-05,5.888434610092386,5.888433249252569
50,-4.327058313749551,-4.327011630033492,-4.327034971891521,2.334185802954636e-05,5.888486002226873,5.888488339049407
51,-4.327058313749551,-4.327035471891521,-4.327046892820536,1.142092901496028e-05,5.888458145131321,5.888460481953855
52,-4.327058313749551,-4.3270473928205355,-4.327052853285043,5.46046450766724e-06,5.888444216583547,5.888446553406078
53,-4.327058313749551,-4.327053353285042,-4.327055833517297,2.4802322542427646e-06,5.888437252309657,5.88843958913219
54,-4.327058313749551,-4.327056333517296,-4.327057323633424,9.901161273084824e-07,5.888433770172712,5.888436106995246
55,,,,,,
